"snize-view-link href","snize-product-label","snize-item-image src","snize-item-image src 2","snize-title","snize-description","snize-price"
"https://www.fabricsgalore.co.uk/collections/deadstock-fabric/products/deadstock-cotton-elastane-jersey-stripe-mauve","NEW","https://cdn.shopify.com/s/files/1/1116/5366/files/DeadstockCottonElastaneJersey-Stripe-Mauve1_large.jpg?v=1780414601","https://cdn.shopify.com/s/files/1/1116/5366/files/DeadstockCottonElastaneJersey-Stripe-Mauve2_large.jpg?v=1780414601","Deadstock Cotton Elastane Jersey - Stripe - Mauve","Fabric Composition - 95% Cotton 5% Elastane Deadstock Jersey Fabric - Mauve Stripe A gorgeous ...","£6.00"
"https://www.fabricsgalore.co.uk/collections/deadstock-fabric/products/deadstock-cotton-elastane-jersey-stripe-grey","NEW","https://cdn.shopify.com/s/files/1/1116/5366/files/DeadstockCottonElastaneJersey-Stripe-Grey2_large.jpg?v=1780415124","https://cdn.shopify.com/s/files/1/1116/5366/files/DeadstockCottonElastaneJersey-Stripe-Grey3_large.jpg?v=1780415124","Deadstock Cotton Elastane Jersey - Stripe - Grey","Fabric Composition - 95% Cotton 5% Elastane Deadstock Jersey Fabric - Grey Stripe A gorgeous ...","£6.00"
"https://www.fabricsgalore.co.uk/collections/deadstock-fabric/products/dressmaking-seersucker-navy-big-pink-flower","","https://cdn.shopify.com/s/files/1/1116/5366/files/Dressmaking_Seersucker_-_Navy_-_Big_Pink_Flower_2_large.jpg?v=1756301198","https://cdn.shopify.com/s/files/1/1116/5366/files/Dressmaking_Seersucker_-_Navy_-_Big_Pink_Flower_1_large.jpg?v=1756301197","Dressmaking Deadstock Seersucker - Navy - Big Pink Flower","Fabric Composition - 100% Cotton  Navy Blue Floral Seersucker Fabric A gorgeous dark blue ...","£6.00"
"https://www.fabricsgalore.co.uk/collections/deadstock-fabric/products/towelling-white","NEW","https://cdn.shopify.com/s/files/1/1116/5366/files/Deadstock_Towelling_-_Bright_White_1_large.jpg?v=1780416122","https://cdn.shopify.com/s/files/1/1116/5366/files/Deadstock_Towelling_-_Bright_White_2_large.jpg?v=1780416122","Deadstock Bamboo Towelling - Bright White","Fabric Composition - 90% Bamboo 10% Polyester  Deadstock Bamboo Towelling Fabric - Bright White ...","£6.00"
"https://www.fabricsgalore.co.uk/collections/deadstock-fabric/products/tubular-ribbing-oatmeal","SALE","https://cdn.shopify.com/s/files/1/1116/5366/files/TubularRibbing-Oatmeal1_df661808-7543-4acf-8ad3-73472f93f4cc_large.jpg?v=1765284129","https://cdn.shopify.com/s/files/1/1116/5366/files/TubularRibbing-Oatmeal2_47875489-964f-4dd2-9b8c-f13580e76d80_large.jpg?v=1765284129","Tubular Ribbing - Oatmeal","Fabric Composition - Scoured Cotton/Elastane Tubular Ribbing Fabric - Oatmeal  A lovely ribbing ...","£2.00"
"https://www.fabricsgalore.co.uk/collections/deadstock-fabric/products/deadstock-liberty-cotton-lawn-lodden-blues","Oeko-Tex","https://cdn.shopify.com/s/files/1/1116/5366/files/DeadstockLibertyLodden-Blues1_large.jpg?v=1740065606","https://cdn.shopify.com/s/files/1/1116/5366/files/DeadstockLibertyLodden-Blues2_large.jpg?v=1740065606","Deadstock Liberty Cotton Lawn - Lodden - Blues","Fabric Composition - 100% Cotton Liberty Fabrics Tana Lawn™ Cotton - Lodden Blues  Lodden was ...","£9.00"
"https://www.fabricsgalore.co.uk/collections/deadstock-fabric/products/deadstock-liberty-cotton-lawn-lodden-purples","Oeko-Tex","https://cdn.shopify.com/s/files/1/1116/5366/files/DeadstockLibertyLodden-Purples1_large.jpg?v=1740067378","https://cdn.shopify.com/s/files/1/1116/5366/files/DeadstockLibertyLodden-Purples2_large.jpg?v=1740067379","Deadstock Liberty Cotton Lawn - Lodden - Purples","Fabric Composition - 100% Cotton Deadstock Liberty Fabrics Tana Lawn™ Cotton - Lodden Purples ...","£9.00"
"https://www.fabricsgalore.co.uk/collections/deadstock-fabric/products/deadstock-cotton-mix-seersucker-blue","","https://cdn.shopify.com/s/files/1/1116/5366/files/Deadstock_Cotton_Mix_Seersucker_-_Blue_Stripe_-_Dogs_1_large.jpg?v=1773160872","https://cdn.shopify.com/s/files/1/1116/5366/files/Deadstock_Cotton_Mix_Seersucker_-_Blue_Stripe_-_Dogs_2_large.jpg?v=1773160872","Deadstock Cotton Seersucker - Blue Stripe - Dogs","Fabric Composition - 100% Cotton Deadstock Seersucker Fabric - Blue and Cream Stripe A gorgeous ...","£6.00"
"https://www.fabricsgalore.co.uk/collections/deadstock-fabric/products/deadstock-cotton-stripe-multi-coloured","","https://cdn.shopify.com/s/files/1/1116/5366/files/DeadstockCottonStripe-MultiColoured1_large.jpg?v=1773161195","https://cdn.shopify.com/s/files/1/1116/5366/files/DeadstockCottonStripe-MultiColoured2_large.jpg?v=1773161194","Deadstock Shirting Weight Cotton Stripe - Multi Coloured","Fabric Composition - 100% Cotton Deadstock Swiss Cotton Fabric - Multi Coloured Stripe A ...","£5.00"
"https://www.fabricsgalore.co.uk/collections/deadstock-fabric/products/deadstock-sheer-floral-embroidered-silk","","https://cdn.shopify.com/s/files/1/1116/5366/files/DeadstockSheerFloralEmbrodieredSilk3_large.jpg?v=1776847147","https://cdn.shopify.com/s/files/1/1116/5366/files/DeadstockSheerFloralEmbrodieredSilk1_large.jpg?v=1776847148","Deadstock Sheer Floral Embroidered Silk Organza","Fabric Composition - 100% Silk Deadstock Fabric - Cream Floral Silk Organza A beautiful ...","£4.50"
